date,open,high,low,close,volume,dollar_volume,trade_count,sources
2010-07-22,0.250000,0.250000,0.250000,0.250000,1000,250.00,1,local-cache
2010-07-26,0.260000,0.260000,0.260000,0.260000,5000,1300.00,1,local-cache
2010-07-27,0.260000,0.270000,0.200000,0.240000,921850,221244.00,11,local-cache
2010-07-28,0.250000,0.250000,0.250000,0.250000,5000,1250.00,1,local-cache
2010-07-29,0.340000,0.350000,0.300000,0.300000,208300,62490.00,7,local-cache
2010-07-30,0.240000,0.300000,0.240000,0.300000,60900,18270.00,3,local-cache
2010-08-02,0.260000,0.280000,0.260000,0.280000,77800,21784.00,4,local-cache
2010-08-03,0.260000,0.260000,0.240000,0.240000,58400,14016.00,2,local-cache
2010-08-04,0.240000,0.240000,0.240000,0.240000,83000,19920.00,2,local-cache
2010-08-05,0.225000,0.225000,0.225000,0.225000,2500,562.50,1,local-cache
2010-08-10,0.240000,0.250000,0.240000,0.250000,80200,20050.00,4,local-cache
2010-08-11,0.250000,0.250000,0.250000,0.250000,6400,1600.00,1,local-cache
2010-08-12,0.290000,0.290000,0.270000,0.270000,99000,26730.00,2,local-cache
2010-08-13,0.260000,0.270000,0.210000,0.210000,149010,31292.10,4,local-cache
2010-08-16,0.140000,0.140000,0.140000,0.140000,1000,140.00,1,local-cache
2010-08-17,0.210000,0.210000,0.210000,0.210000,15000,3150.00,3,local-cache
2010-08-18,0.210000,0.270000,0.210000,0.270000,5000,1350.00,2,local-cache
2010-08-20,0.250000,0.250000,0.250000,0.250000,25000,6250.00,1,local-cache
2010-08-23,0.250000,0.250000,0.250000,0.250000,1200,300.00,1,local-cache
2010-08-24,0.240000,0.240000,0.240000,0.240000,10000,2400.00,1,local-cache
2010-08-25,0.250000,0.250000,0.240000,0.240000,53000,12720.00,3,local-cache
2010-08-26,0.220000,0.250000,0.220000,0.250000,12500,3125.00,2,local-cache
2010-08-27,0.230000,0.260000,0.230000,0.260000,2947845,766439.70,9,local-cache
2010-08-30,0.290000,0.290000,0.290000,0.290000,3000,870.00,1,local-cache
2010-08-31,0.275000,0.300000,0.275000,0.300000,190000,57000.00,2,local-cache
2010-09-02,0.300000,0.300000,0.285000,0.300000,30000,9000.00,3,local-cache
2010-09-07,0.280000,0.280000,0.280000,0.280000,76000,21280.00,1,local-cache
2010-09-08,0.280000,0.280000,0.280000,0.280000,3000,840.00,1,local-cache
2010-09-09,0.300000,0.300000,0.300000,0.300000,10152,3045.60,2,local-cache
2010-09-10,0.300000,0.300000,0.300000,0.300000,5000,1500.00,1,local-cache
2010-09-13,0.305000,0.305000,0.305000,0.305000,3500,1067.50,1,local-cache
2010-09-14,0.305000,0.305000,0.305000,0.305000,100000,30500.00,1,local-cache
2010-09-17,0.310000,0.310000,0.310000,0.310000,3076,953.56,1,local-cache
2010-09-21,0.350000,0.350000,0.350000,0.350000,6000,2100.00,1,local-cache
2010-09-22,0.321000,0.321000,0.321000,0.321000,14600,4686.60,1,local-cache
2010-09-24,0.400000,0.400000,0.400000,0.400000,12500,5000.00,1,local-cache
2010-09-27,0.450000,0.450000,0.450000,0.450000,3500,1575.00,1,local-cache
2010-09-28,0.450000,0.450000,0.420000,0.420000,29800,12516.00,3,local-cache
2010-10-01,0.430000,0.430000,0.430000,0.430000,4000,1720.00,2,local-cache
2010-10-05,0.450000,0.450000,0.450000,0.450000,4064,1828.80,1,local-cache
2010-10-07,0.400000,0.400000,0.400000,0.400000,15500,6200.00,2,local-cache
2010-10-08,0.420000,0.420000,0.400000,0.400000,180000,72000.00,2,local-cache
2010-10-11,0.400000,0.400000,0.400000,0.400000,551780,220712.00,9,local-cache
2010-10-12,0.400000,0.400000,0.400000,0.400000,25000,10000.00,1,local-cache
2010-10-13,0.480000,0.480000,0.400000,0.400000,12600,5040.00,2,local-cache
2010-10-14,0.370000,0.370000,0.370000,0.370000,7000,2590.00,1,local-cache
2010-10-15,0.420000,0.420000,0.420000,0.420000,5000,2100.00,1,local-cache
2010-10-22,0.460000,0.460000,0.440000,0.440000,22750,10010.00,3,local-cache
2010-10-25,0.440000,0.440000,0.440000,0.440000,62000,27280.00,2,local-cache
2010-10-26,0.450000,0.450000,0.450000,0.450000,27870,12541.50,2,local-cache
2010-10-28,0.550000,0.550000,0.550000,0.550000,5400,2970.00,1,local-cache
2010-10-29,0.500000,0.500000,0.500000,0.500000,15000,7500.00,2,local-cache
2010-11-01,0.500000,0.500000,0.500000,0.500000,26000,13000.00,1,local-cache
