date,open,high,low,close,volume,dollar_volume,trade_count,sources
2008-09-11,0.009000,0.009000,0.009000,0.009000,75000,675.00,1,local-cache
2008-09-12,0.009000,0.009000,0.009000,0.009000,245000,2205.00,3,local-cache
2008-09-17,0.009000,0.009000,0.009000,0.009000,250000,2250.00,2,local-cache
2008-09-18,0.009000,0.009000,0.009000,0.009000,5000,45.00,1,local-cache
2008-09-19,0.009000,0.010000,0.009000,0.010000,331000,3310.00,6,local-cache
2008-09-23,0.010000,0.012000,0.010000,0.012000,960700,11528.40,7,local-cache
2008-10-06,0.012000,0.014000,0.012000,0.014000,155000,2170.00,3,local-cache
2008-10-10,0.010000,0.010000,0.009000,0.009000,220000,1980.00,3,local-cache
2008-10-13,0.010000,0.010000,0.010000,0.010000,330000,3300.00,2,local-cache
2008-10-14,0.010000,0.010000,0.010000,0.010000,45000,450.00,2,local-cache
2008-10-15,0.010000,0.010000,0.010000,0.010000,45000,450.00,1,local-cache
2008-10-16,0.012000,0.012000,0.011000,0.011000,10000,110.00,2,local-cache
2008-10-22,0.008000,0.008000,0.006000,0.006000,80578,483.47,3,local-cache
2008-10-23,0.009000,0.009000,0.009000,0.009000,7000,63.00,1,local-cache
2008-10-24,0.009000,0.010000,0.009000,0.009000,647472,5827.25,5,local-cache
2008-10-27,0.009000,0.009000,0.009000,0.009000,40000,360.00,2,local-cache
2008-10-29,0.009000,0.009000,0.009000,0.009000,52000,468.00,2,local-cache
2008-10-30,0.009000,0.009000,0.007000,0.007000,9390300,65732.10,18,local-cache
2008-10-31,0.007000,0.007000,0.007000,0.007000,1600000,11200.00,5,local-cache
2008-11-03,0.007000,0.009000,0.006000,0.009000,926000,8334.00,8,local-cache
2008-11-04,0.009000,0.009000,0.009000,0.009000,45000,405.00,1,local-cache
2008-11-05,0.009000,0.009000,0.009000,0.009000,60000,540.00,2,local-cache
2008-11-06,0.009000,0.009000,0.009000,0.009000,10000,90.00,1,local-cache
2008-11-07,0.009000,0.009000,0.009000,0.009000,55000,495.00,1,local-cache
2008-11-11,0.009000,0.009000,0.009000,0.009000,330000,2970.00,3,local-cache
2008-11-14,0.010000,0.010000,0.009000,0.009000,3000,27.00,2,local-cache
2008-11-18,0.009000,0.009000,0.009000,0.009000,1000,9.00,1,local-cache
